"No.","Time","Source","Destination","Protocol","Length","Info"
"3705","0.067573","107.186.242.101","10.10.10.10","TCP","58","80  >  22072 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3706","0.067577","45.38.32.31","10.10.10.10","TCP","58","80  >  1832 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3707","0.067581","104.165.63.68","10.10.10.10","TCP","58","80  >  35785 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3708","0.067621","45.39.66.215","10.10.10.10","TCP","58","80  >  5116 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3709","0.067625","172.120.176.150","10.10.10.10","TCP","58","80  >  6188 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3710","0.067628","45.39.33.13","10.10.10.10","TCP","54","80  >  13072 [RST] Seq=1 Win=0 Len=0"
"3711","0.067640","142.252.25.209","10.10.10.10","TCP","58","80  >  40983 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3712","0.067686","45.38.167.243","10.10.10.10","TCP","58","80  >  53908 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3713","0.067718","45.38.167.59","10.10.10.10","TCP","58","80  >  24501 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3714","0.067754","23.27.11.31","10.10.10.10","TCP","58","80  >  36263 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3715","0.067772","172.120.40.59","10.10.10.10","TCP","54","80  >  35658 [RST] Seq=1 Win=0 Len=0"
"3716","0.067774","107.186.84.147","10.10.10.10","TCP","58","80  >  42998 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3717","0.067789","142.111.5.103","10.10.10.10","TCP","58","80  >  40145 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3718","0.067797","136.0.81.130","10.10.10.10","TCP","58","443  >  30092 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3719","0.067809","104.252.153.198","10.10.10.10","TCP","58","80  >  55726 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3720","0.067821","104.253.247.90","10.10.10.10","TCP","58","80  >  8246 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3721","0.067824","107.165.201.216","10.10.10.10","TCP","58","80  >  31296 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3722","0.067827","107.164.198.170","10.10.10.10","TCP","58","80  >  60535 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3723","0.067874","23.27.194.247","10.10.10.10","TCP","58","80  >  23231 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3724","0.067878","142.111.235.50","10.10.10.10","TCP","58","80  >  5458 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3725","0.067896","172.252.218.117","10.10.10.10","TCP","58","443  >  56818 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3726","0.067900","142.111.235.196","10.10.10.10","TCP","58","443  >  45553 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3727","0.067908","107.164.8.141","10.10.10.10","TCP","58","80  >  16966 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3728","0.067925","104.164.131.234","10.10.10.10","TCP","58","80  >  28347 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3729","0.067928","142.111.235.196","10.10.10.10","TCP","58","443  >  28340 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3730","0.067958","104.165.34.165","10.10.10.10","TCP","58","80  >  18252 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3731","0.067969","104.165.187.68","10.10.10.10","TCP","54","80  >  40732 [RST] Seq=1 Win=0 Len=0"
"3732","0.067973","142.252.139.165","10.10.10.10","TCP","58","80  >  43874 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3733","0.067975","104.164.131.234","10.10.10.10","TCP","58","80  >  27669 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3734","0.067998","107.187.151.82","10.10.10.10","TCP","54","80  >  21494 [RST] Seq=1 Win=0 Len=0"
"3735","0.068060","50.118.219.180","10.10.10.10","TCP","58","80  >  47184 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3736","0.068097","172.252.170.134","10.10.10.10","TCP","58","80  >  52492 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3737","0.068102","107.165.129.23","10.10.10.10","TCP","54","80  >  13770 [RST] Seq=1 Win=0 Len=0"
"3738","0.068112","107.186.42.242","10.10.10.10","TCP","54","443  >  39615 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3739","0.068115","45.38.45.228","10.10.10.10","TCP","58","80  >  38630 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3740","0.068118","136.0.254.20","10.10.10.10","TCP","58","80  >  49163 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3741","0.068134","104.253.13.116","10.10.10.10","TCP","58","80  >  24665 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3742","0.068138","45.39.233.192","10.10.10.10","TCP","54","80  >  37373 [RST] Seq=1 Win=0 Len=0"
"3743","0.068140","23.230.153.234","10.10.10.10","TCP","54","80  >  5554 [RST] Seq=1 Win=0 Len=0"
"3744","0.068143","142.111.5.210","10.10.10.10","TCP","58","80  >  2963 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3745","0.068146","23.27.5.50","10.10.10.10","TCP","58","80  >  23155 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3746","0.068205","104.253.13.161","10.10.10.10","TCP","58","80  >  31469 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3747","0.068208","107.165.158.39","10.10.10.10","TCP","58","80  >  12518 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3748","0.068210","45.39.122.170","10.10.10.10","TCP","58","80  >  60879 [SYN, ACK] Seq=0 Ack=1 Win=16384 Len=0 MSS=1400"
"3749","0.068213","104.165.137.144","10.10.10.10","TCP","58","80  >  60164 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3750","0.068251","104.164.83.17","10.10.10.10","TCP","58","80  >  31737 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3751","0.068277","107.165.74.56","10.10.10.10","TCP","58","80  >  57756 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3752","0.068305","172.120.85.45","10.10.10.10","TCP","58","80  >  3186 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3753","0.068352","172.121.13.124","10.10.10.10","TCP","58","80  >  30862 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3754","0.068399","142.252.57.130","10.10.10.10","TCP","58","80  >  520 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
